Message,Category
Joy's father is John. Then John is the NAME of Joy's father. Mandan,ham
Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*,ham
No messages on her phone. I'm holding it now,ham
Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,ham
Erm. I thought the contract ran out the4th of october.,ham
I've sent ü my part..,ham
"How long before you get reply, just defer admission til next semester",ham
Come to mahal bus stop.. &lt;DECIMAL&gt;,ham
Jay is snickering and tells me that x is totally fucking up the chords as we speak,ham
Dear i have reache room,ham
The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.,ham
"Hurry up, I've been weed-deficient for like three days",ham
I dunno until when... Lets go learn pilates...,ham
I had it already..sabarish asked me to go..,ham
"Sorry, I'll call later",ham
"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly",ham
Happy birthday... May all ur dreams come true...,ham
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,ham
Stupid.its not possible,ham
For my family happiness..,ham
Hey come online! Use msn... We are all there,ham
Nan sonathaya soladha. Why boss?,ham
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",ham
First answer my question.,ham
I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,ham
I am going to film 2day da. At 6pm. Sorry da.,ham
I'm in office now da:)where are you?,ham
Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,ham
I got your back! Do you have any dislikes in bed?,ham
I'm already back home so no probably not,ham
Ok...,ham
Dear reached railway. What happen to you,ham
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham
I will see in half an hour,ham
I see a cup of coffee animation,ham
"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala.",ham
"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",ham
"Arms fine, how's Cardiff and uni?",ham
Wait . I will msg after  &lt;#&gt;  min.,ham
Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,ham
Ok...,ham
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),ham
WHITE FUDGE OREOS ARE IN STORES,ham
Hi..i got the money da:),ham
Where wuld I be without my baby? The thought alone mite break me and I dont wanna go crazy but everyboy needs his lady xxxxxxxx,ham
Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,ham
E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,ham
jay says he'll put in  &lt;#&gt;,ham
Nope. Meanwhile she talk say make i greet you.,ham
"Sorry, I'll call later In meeting.",ham
"Wat time liao, where still got.",ham
"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",ham
No way I'm going back there!,ham
And miss vday the parachute and double coins??? U must not know me very well...,ham
Ok. I only ask abt e movie. U wan ktv oso?,ham
What Today-sunday..sunday is holiday..so no work..,ham
He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,ham
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham
Somebody set up a website where you can play hold em using eve online spacebucks,ham
Networking job is there.,ham
"Sorry, I'll call later",ham
Convey my regards to him,ham
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham
"Ok omw now, you at castor?",ham
No i am not having not any movies in my laptop,ham
I cant pick the phone right now. Pls send a message,ham
Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,ham
"So check your errors and if you had difficulties, do correction.",ham
Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-),ham
"Sorry da thangam, very very sorry i am held up with prasad.",ham
"What's up bruv, hope you had a great break. Do have a rewarding semester.",ham
Are you this much buzy,ham
Finished class where are you.,ham
"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",ham
Pls dont forget to study,ham
Nothing. Can...,ham
"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",ham
Okie.. Thanx..,ham
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",ham
Are you the cutest girl in the world or what,ham
Well i know Z will take care of me. So no worries.,ham
I'm e person who's doing e sms survey...,ham
&lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,ham
LOL ... Have you made plans for new years?,ham
"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",ham
"No I'm good for the movie, is it ok if I leave in an hourish?",ham
Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,ham
Are you this much buzy,ham
Thts wat Wright Brother did to fly..,ham
"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",ham
Okie...,ham
Why do you ask princess?,ham
Y de asking like this.,ham
Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,ham
Its sarcasm.. .nt scarcasim,ham
Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.,ham
No dear i do have free messages without any recharge. Hi hi hi,ham
Orh i tot u say she now still dun believe.,ham
Whatsup there. Dont u want to sleep,ham
I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you,ham
Ugh. Gotta drive back to sd from la. My butt is sore.,ham
You can never do NOTHING,ham
"Just sent you an email – to an address with incomm in it, is that right?",ham
Huh i cant thk of more oredi how many pages do we have?,ham
R we still meeting 4 dinner tonight?,ham
I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,ham
Hi Harish's rent has been transfred to ur Acnt.,ham
Tell me again what your address is,ham
Yeah just open chat and click friend lists. Then make the list. Easy as pie,ham
"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",ham
No:-)i got rumour that you going to buy apartment in chennai:-),ham
I'm at home. Please call,ham
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",ham
i want to grasp your pretty booty :),ham
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham
ELLO BABE U OK?,ham
"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",ham
Thats cool! I am a gentleman and will treat you with dignity and respect.,ham
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",ham
Love that holiday Monday feeling even if I have to go to the dentists in an hour,ham
Are you comingdown later?,ham
Sending you greetings of joy and happiness. Do have a gr8 evening,ham
Do you want bold 2 or bb torch,ham
No that just means you have a fat head,ham
Thanks. Fills me with complete calm and reassurance!,ham
Sent me ur email id soon,ham
"Yup, leaving right now, be back soon",ham
Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time,ham
When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...,ham
Does uncle timi help in clearing cars,ham
Dear good morning how you feeling dear,ham
Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,ham
"Sir, I am waiting for your mail.",ham
Hey anyway i have to :-),ham
I know a few people I can hit up and fuck to the yes,ham
I'm working technical support :)voice process.networking field.,ham
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",ham
Should i send you naughty pix? :),ham
Too late. I said i have the website. I didn't i have or dont have the slippers,ham
Having lunch:)you are not in online?why?,ham
Ok... U enjoy ur shows...,ham
"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that!",ham
Sorry i'm not free...,ham
Babe ? I lost you ... Will you try rebooting ?,ham
And maybe some pressies,ham
How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,ham
"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!",ham
"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",ham
Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,ham
Nothing spl..wat abt u and whr ru?,ham
Is fujitsu s series lifebook good?,ham
She's borderline but yeah whatever.,ham
Or just do that 6times,ham
Hey. You got any mail?,ham
Where is it. Is there any opening for mca.,ham
Have a good evening! Ttyl,ham
K go and sleep well. Take rest:-).,ham
No:-)i got rumour that you going to buy apartment in chennai:-),ham
"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",ham
Lol well don't do it without me. We could have a big sale together.,ham
I will be outside office take all from there,ham
He needs to stop going to bed and make with the fucking dealing,ham
No. Did you multimedia message them or e-mail?,ham
Have you bookedthe hut? And also your time off? How are you by the way?,ham
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham
Yes princess! I want to please you every night. Your wish is my command...,ham
Ok lor... But buy wat?,ham
Well that must be a pain to catch,ham
"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""....",ham
You sure your neighbors didnt pick it up,ham
You're right I have now that I think about it,ham
ARR birthday today:) i wish him to get more oscar.,ham
It certainly puts things into perspective when something like this happens,ham
"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",ham
"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",ham
Hey tmr meet at bugis 930 ?,ham
Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.,ham
Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),ham
"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1.",ham
"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",ham
I am great princess! What are you thinking about me? :),ham
Not able to do anything.,ham
"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",ham
"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",ham
Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.,ham
I told that am coming on wednesday.,ham
"The table's occupied, I'm waiting by the tree",ham
Dont you have message offer,ham
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",ham
Pls she needs to dat slowly or she will vomit more.,ham
Am okay. Will soon be over. All the best,ham
"It,,s a taxt massage....tie-pos argh ok! Lool!",ham
Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,ham
Am in film ill call you later.,ham
Takin a shower now but yeah I'll leave when I'm done,ham
Are there TA jobs available? Let me know please cos i really need to start working,ham
"Tee hee. Off to lecture, cheery bye bye.",ham
I finished my lunch already. U wake up already?,ham
He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,ham
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",ham
"I've got ten bucks, jay is being noncomittal",ham
thanks for the temales it was wonderful. Thank. Have a great week.,ham
Hey they r not watching movie tonight so i'll prob b home early...,ham
Lol enjoy role playing much?,ham
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,ham
I will come to ur home now,ham
"What part of ""don't initiate"" don't you understand",ham
I want to be there so i can kiss you and feel you next to me,ham
U're welcome... Caught u using broken english again...,ham
Oh god i am happy to see your message after 3 days,ham
Am not interested to do like that.,ham
Yeah right! I'll bring my tape measure fri!,ham
Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,ham
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",ham
You know there is. I shall speak to you in  &lt;#&gt;  minutes then,ham
How much did ur hdd casing cost.,ham
Yo come over carlos will be here soon,ham
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",ham
great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),ham
"SYMPTOMS when U are in love: ""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your",ham
Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx,ham
Wherre's my boytoy ? :-(,ham
There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,ham
MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,ham
OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?,ham
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",ham
Hello! Good week? Fancy a drink or something later?,ham
Where u been hiding stranger?,ham
* Will have two more cartons off u and is very pleased with shelves,ham
Tired. I haven't slept well the past few nights.,ham
"Hm good morning, headache anyone? :-)",ham
Dai what this da.. Can i send my resume to this id.,ham
No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),ham
Yes. It's all innocent fun. O:-),ham
Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,ham
"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3.",ham
U can call now...,ham
Prabha..i'm soryda..realy..frm heart i'm sory,ham
No need to say anything to me. I know i am an outsider,ham
As in i want custom officer discount oh.,ham
Wot u up 2? Thout u were gonna call me!! Txt bak luv K,ham
You call times job today ok umma and ask them to speed up,ham
Wait 2 min..stand at bus stop,ham
Did u find out what time the bus is at coz i need to sort some stuff out.,ham
Its ok my arm is feeling weak cuz i got a shot so we can go another time,ham
Yes da. Any plm at ur office,ham
What was she looking for?,ham
Stop knowing me so well!,ham
Prabha..i'm soryda..realy..frm heart i'm sory,ham
Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is,ham
"I hav almost reached. Call, i m unable to connect u.",ham
Well I'm going to be an aunty!,ham
Genius what's up. How your brother. Pls send his number to my skype.,ham
Er mw im filled tuth is aight,ham
"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",ham
Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,ham
"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",ham
"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",ham
How do you guys go to see movies on your side.,ham
Meeting u is my work. . . Tel me when shall i do my work tomorrow,ham
.Please charge my mobile when you get up in morning.,ham
Ok...,ham
Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,ham
Nt yet chikku..simple habba..hw abt u?,ham
"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",ham
Shopping? Eh ger i toking abt syd leh...Haha,ham
Dont kick coco when he's down,ham
Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),ham
"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",ham
Still work going on:)it is very small house.,ham
I dont. Can you send it to me. Plus how's mode.,ham
Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),ham
do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................,ham
Cheers for the card ... Is it that time of year already?,ham
Fine am simply sitting.,ham
If you have belive me. Come to my home.,ham
Aiyah ok wat as long as got improve can already wat...,ham
Bugis oso near wat...,ham
"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",ham
Nice.nice.how is it working?,ham
"I sent you the prices and do you mean the  &lt;#&gt; g,",ham
Now i'm going for lunch.,ham
Yup ok...,ham
I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free,ham
Ok. I.ll do you right later.,ham
Can. Dunno wat to get 4 her...,ham
Was actually about to send you a reminder today. Have a wonderful weekend,ham
Hey we can go jazz power yoga hip hop kb and yogasana,ham
All will come alive.better correct any good looking figure there itself..,ham
"I just got home babe, are you still awake ?",ham
Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,ham
Call me when you get the chance plz &lt;3,ham
"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",ham
I asked sen to come chennai and search for job.,ham
"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",ham
"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",ham
Am in gobi arts college,ham
"Probably, want to pick up more?",ham
what are your new years plans?,ham
What should i eat fo lunch senor,ham
No de. But call me after some time. Ill tell you k,ham
Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,ham
I'll be at mu in like  &lt;#&gt;  seconds,ham
"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",ham
"Didn't try, g and I decided not to head out",ham
Ok I'm gonna head up to usf in like fifteen minutes,ham
I know that my friend already told that.,ham
Not getting anywhere with this damn job hunting over here!,ham
Bring tat cd don forget,ham
"Sorry, I'll call later",ham
You will be in the place of that man,ham
Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.,ham
Ok i'm coming home now.,ham
Nope... Juz off from work...,ham
Man this bus is so so so slow. I think you're gonna get there before me,ham
Well obviously not because all the people in my cool college life went home ;_;,ham
This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!,ham
Thats cool. I want to please you...,ham
"I just lov this line: ""Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But, Never comfort me with a lie"" gud ni8 and sweet dreams",ham
Also remember to get dobby's bowl from your car,ham
";-( oh well, c u later",ham
ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX,ham
Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,ham
"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",ham
Is ur lecture over?,ham
"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",ham
Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,ham
Are you coming to day for class.,ham
You want to go?,ham
On the road so cant txt,ham
"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx",ham
My sister cleared two round in birla soft yesterday.,ham
You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,ham
Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,ham
Yo! Howz u? girls never rang after india. L,ham
Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,ham
Yupz... I've oredi booked slots 4 my weekends liao...,ham
Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,ham
Yes its possible but dint try. Pls dont tell to any one k,ham
All sounds good. Fingers . Makes it difficult to type,ham
Can't take any major roles in community outreach. You rock mel,ham
Can you please send me my aunty's number,ham
Just nw i came to hme da..,ham
I place all ur points on e cultures module already.,ham
"Yeah that's what I thought, lemme know if anything's goin on later",ham
Dont know you bring some food,ham
Then mum's repent how?,ham
You can jot down things you want to remember later.,ham
How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,ham
"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.",ham
"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",ham
Oh ic. I thought you meant mary jane.,ham
"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not.",ham
Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,ham
How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Im knackered and im dreading work tonight. What are thou upto tonight. X,ham
Lolnice. I went from a fish to ..water.?,ham
I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,ham
Hey mr whats the name of that bill brison book the one about language and words,ham
Company is very good.environment is terrific and food is really nice:),ham
I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,ham
"Alright, see you in a bit",ham
"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",ham
I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,ham
IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO,ham
What is your record for one night? :),ham
Dont put your phone on silent mode ok,ham
Havent still waitin as usual... Ü come back sch oredi?,ham
"I'll see, but prolly yeah",ham
I've reached home finally...,ham
"She was supposed to be but couldn't make it, she's still in town though",ham
"Sorry, I can't help you on this.",ham
"That means you got an A in epi, she.s fine. She.s here now.",ham
"Sorry, I'll call later",ham
Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.,ham
"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",ham
Is xy in ur car when u picking me up?,ham
And whenever you and i see we can still hook up too.,ham
Ü all write or wat..,ham
Also remember the beads don't come off. Ever.,ham
I am in hospital da. . I will return home in evening,ham
"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",ham
"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit",ham
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,ham
Ok...,ham
"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",ham
How much i gave to you. Morning.,ham
Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,ham
Nobody names their penis a girls name this story doesn't add up at all,ham
Still chance there. If you search hard you will get it..let have a try :),ham
hanks lotsly!,ham
"Yes, my reg is  Ciao!",ham
Ya had just now.onion roast.,ham
"alright babe, justthought id sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x.",ham
Den wat will e schedule b lk on sun?,ham
You do what all you like,ham
"I'd say that's a good sign but, well, you know my track record at reading women",ham
No chikku nt yet.. Ya i'm free,ham
Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,ham
"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",ham
"Ok, be careful ! Don't text and drive !",ham
"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",ham
I wont. So wat's wit the guys,ham
"It's fine, imma get a drink or somethin. Want me to come find you?",ham
